Strain,Type,Rating,Effects,Flavor,Description
Delahaze,sativa,4.5,"Uplifted,Happy,Energetic,Focused,Talkative","Citrus,Mango,Sweet","DelaHaze by Paradise Seeds is a 70% sativa strain bred from Mango Haze and California Lemon Skunk genetics. To the delight of commercial growers, DelaHaze has the energetic effect profile of a Haze sativa while still offering sizeable yields and a moderate flowering time. Mango and citrus notes express themselves loudly and bring a sweet overtone to the strain's earthy, spicy aroma. Staying true to its Haze genetics, this sativa delivers uplifting cerebral energy that fuels creativity, focus, and happiness, and then tapers into calm relaxation in time."
Denver-Maple,indica,4.4,"Relaxed,Sleepy,Giggly,Tingly,Uplifted","Sweet,Earthy,Pine","Denver Maple is an indica strain that took 3rd place in the 2014 Denver Cannabis Cup."
Desert-Star,hybrid,4.8,"Hungry,Sleepy,Tingly,Uplifted,Creative","Earthy","Desert Star is a sweet and earthy 50/50 hybrid cannabis strain that offers a motivating, upbeat buzz to keep you productive and stress-free. Exclusively available at Encanto Green Cross under the “Chong Certified” label, Desert Star is a treat for all the senses as it shimmers with a constellation of crystal-tipped trichomes."
Destroyer,sativa,4.9,"Energetic,Uplifted,Euphoric,Giggly,Happy","Lavender,Ammonia,Sweet","Destroyer by CannaBiogen is a 100% sativa and CBG powerhouse created over seven years of breeding. Destroyer is the offspring of Meao Thai and a Mexican/Colombian cross, and emits a delicate fruity aroma intermixed with notes of lavender and floral sweetness. This high-THC strain develops beautiful frosted buds that offer consumers powerful psychoactive effects coupled with vigorous alertness. Enjoy this potent, nuanced sativa one hit at a time, as its THC content is designed for seasoned consumers. "
Devil-Fruit,indica,4.4,"Relaxed,Happy,Euphoric,Focused,Hungry","Spicy/Herbal,Pepper,Sweet","Devil Fruit is a 70% indica strain bred by Medical Seed Co. through crossing Shiskaberry and Great White Shark. This high-CBD Spanish strain is sweet and spicy in flavor and delivers a light cerebral stimulation followed by comfortable full-body effects. Outdoor Devil Fruit plants finish in the first half of October while indoor gardens flower in about 65 days."
Devils-Tit,sativa,4.1,"Energetic,Focused,Relaxed,Talkative,Tingly","Spicy/Herbal,Pepper,Earthy","Devil’s Tit from SnowHigh Seeds is a potent heart-pounding speed demon that will put even the most seasoned sativa enthusiast to the test. A sativa cross between Durban Poison, Acapulco Gold, and Cinderella 99, this strain provides an exhilarating body high that makes for an excellent one-hitter-quitter or a welcome challenge for sativa lovers looking to test their boundaries. Avoid this strain if you suffer from anxiety, as the effects will naturally get your heart racing.   "
Diablo,indica,4.1,"Happy,Tingly,Euphoric,Creative,Uplifted","Sweet,Earthy,Spicy/Herbal","With lineage from Grapefruit, Blueberry and South African Sativa, there is a sweet flavor to the Diablo cannabis strain. This indica has a purple hue, fruity and spicy flavors, and a THC content that tends to fall between 15-20%. Diablo has an indoor flowering time of 6-7 weeks and took second place at the 2002 BC Harvest Cup in the outdoor category."
Diamond-Og,indica,4.5,"Relaxed,Sleepy,Happy,Uplifted,Euphoric","Earthy,Spicy/Herbal,Pine","Diamond OG is a precious gem of a strain that patients love for its potent and long-lasting effects. A true indica, this strain induces full-body relaxation that nixes pain and muscle spasms before settling into an overall laziness. It can leave you mentally euphoric in smaller doses, but it’s definitely not one for times when work or even wakefulness needs to happen. Diamond OG is the result of an unknown strain crossed with OG Kush and has the familiar OG aroma of citrus-pine supported by fuel undertones. These sparkling nugs will be condensed and have a strong odor; they’re definitely a beauty to show off. "
Diamond-Socks,hybrid,4.3,"Happy,Relaxed","None","Diamond Socks, named for the dense layer of trichomes coating the plant (and a juicy reggae track), is an invigorating hybrid with roots in a rare strain of Hawaiian Silverback. The structure and growth pattern is indicative of its Kush genetics, leading to a handsome yield and aromatic floral overtones. Hit this mid-range flower for a buzz that is active in the mind and relaxed in the body. This strain is another Hawaiian rarity stabilized and transplanted by Colorado Seed Inc.    "
Diamond-Valley-Kush,hybrid,5,"Happy,Relaxed,Sleepy,Creative,Energetic","Earthy,Spicy/Herbal,Pungent","Diamond Valley Kush is an indica-dominant hybrid that produces dense, medium-sized buds that emanate a classic OG aroma. These earthy nuggets have bright green foliage with brownish orange hairs throughout. This Kush variety supplies a deep, stoney buzz to the body and flushes the mind of anxiety and depression. Newbies, approach this powerful indica strain with caution. "
Diesel-Duff,hybrid,3.8,"Euphoric,Happy,Talkative,Giggly,Uplifted","Sweet,Flowery,Honey","Diesel Duff is a happy, mellow strain that may just have your thoughts spinning off into new tangents. This strain’s effects tend to be more sativa in nature, taking after its Sour Diesel genetics. It’s a great choice for taming the mind during daytime and getting things done as long as your pursuits are not too labor-intensive."
Dieseltonic,hybrid,4.1,"Relaxed,Sleepy,Giggly,Focused,Uplifted","Diesel,Earthy,Woody","Bred by Resin Seeds in Spain, Dieseltonic is a high-CBD hybrid cross between NYC Diesel and Cannatonic. With an equal THC and CBD content, Dieseltonic is a therapeutic variety used to treat mood disorders, pain, inflammation, spasms, and many other symptoms. Dieseltonic is energizing and uplifting with a sweet orange aroma. Its resistance to mildew and fungus makes Dieseltonic a great choice for novice growers, who can expect an 8 to 9 week flowering time indoors or an October outdoor harvest."
Digweed,indica,3.9,"Happy,Uplifted,Relaxed,Sleepy,Giggly","Earthy,Skunk,Spicy/Herbal","Digweed is an indica-dominant strain that was named after a cat with a sweet tooth for cannabis plants. This high-CBD cross between Afghani and Sweet Tooth has a fruity, floral aroma and is often chosen by patients treating chronic pain, stress, and muscle spasms."
Dinachem,hybrid,4.7,"Talkative,Relaxed,Happy,Energetic,Giggly","Tropical,Pungent,Earthy","Dinachem by Dinafem Seeds is an especially potent cross of Guava Chem and the Original Chemdawg ‘91 from Chemdog’s own genetics. This strain enhances and preserves the potency and quality of Chemdog’s original strain while infusing fruit and floral nuances into the oily, woody aroma inherent to the strain. With natural pest and moisture resistance, Dinachem offers novice growers a hearty piece of cannabis history with a large yield and an average THC content of 18-23%. Dinachem won 1st prize for “Best Indica” at Cannazores Cup in 2016 and 2nd prize for “Best Indica” at IC420 Growers Cup in 2015.   "
Dirty-Girl,sativa,4.5,"Uplifted,Happy,Focused,Euphoric,Energetic","Citrus,Sweet,Lemon","Dirty Girl is a sativa-dominant cross of a Trainwreck hybrid, known as Arcata Lemon Wreck, and Cinderella 99. The combination produces a tropical aroma of pineapples and citrus fruit with a sharp pungent note reminiscent of Pine Sol.  The flavor of Dirty Girl is like sweet lemon candy and the effects it produces are happy and creative. Dirty Girl will elevate your mood and help avoid the complications of depression, anxiety, and migraine headaches."
Dirty-Old-Bastard,indica,5,"None","Spicy/Herbal,Flowery","Dirty Old Bastard (also known as Dirty, Ol’ Dirty Bastard, or Dirt McGirt) is an indica-dominant cross that pays homage to Wu-Tang Clan’s own, ODB. A cross between California classic, OG Kush, and the ever-sweet Blackberry, Dirty Old Bastard melds complementary flavors and effects, creating a strain that is pleasant on the palate and the body. The strain’s aroma is saccharin with notes of berry, lemon, and pine. Its effects are initially uplifting, but quickly mellow into hazy relaxation that helps abate stress and depression. The physical effects deepen with time and continued consumption, lending benefits to consumers treating cramps and pain. "
Dirty-Widow,hybrid,4.2,"Uplifted,Energetic,Talkative,Tingly,Euphoric","Sweet,Earthy,Pungent","Dirty Widow is a sativa-dominant hybrid loaded with euphoria. This natural cross of Dirty Girl and White Widow is an uplifting combination perfect for cleaning your house or getting active. It exhibits delicious earthy terpenes and light touches of citrus and aromatic wood. Dirty Widow is also an excellent strain to share among friends, especially as the strain’s effects are known to stimulate conversation and creativity. But have a glass of water nearby;  the combination of Dirty Widow and long talks is a recipe for cottonmouth."
Disney-Blue,hybrid,4.5,"Happy,Creative,Energetic,Focused,Giggly","Sweet,Lime,Apple","Disney Blue is a mood-lifting hybrid strain appropriately named after the “happiest place on earth.” Bred in Temecula, CA by Greenleaf Genetics Collective, Disney Blue inherits the sweet aroma of DJ Short Blueberry and the blissful, uplifting effects of a Blue Dream parent sourced from Oaksterdam University. With an intensely flavorful burst of fruit and blueberry, this hybrid awakens happiness in the mind and tranquility throughout the body."
Dizzy-Og,hybrid,5,"Giggly,Relaxed,Uplifted,Happy,Hungry","Sweet,Pungent,Spicy/Herbal","Dizzy OG took 2nd place for Best Medical Hybrid Flower at the 2016 SoCal Cannabis Cup and is the official strain of Las Vegas hip-hop luminary Dizzy Wright. This strain has traditional OG qualities, including a heavy yet functional body buzz that sticks to the bones. With slightly sweeter terpenoids than traditional OG strains, this hybrid is an all-day smoke for the seasoned consumer, but can lean toward full sedation in larger doses.  "
Django,sativa,4.6,"Energetic,Uplifted,Happy,Talkative,Euphoric","Sweet,Flowery,Earthy","Django means “I awake,” in Romani, and this upbeat sativa will have you saying just that. Active and light, this strain’s effects might not be great for those looking for pain relief or strong relaxation. But if you want to lift your mood without losing energy, Django is just the thing. "
Do-Over-Og,hybrid,4.7,"Talkative,Uplifted,Creative,Euphoric,Happy","","Do-Over OG is an indica-dominant strain that combines OG Kush, Hindu Kush, Skywalker OG, and Wellness OG into one powerful hybrid. Bred in Los Angeles, Do-Over OG is appreciated for its potent euphoric effects and creative influence. The mind-expanding effects are brought on by a sweet blend of sweet, earthy flavors that intertwine with the sharp pine notes indicative of its OG Kush heritage. Do-Over OG is specially cultivated by Neighborhood Farms to celebrate the 10th anniversary of The Do-Over event series in Los Angeles and beyond."
Do-Si-Dos,indica,4.8,"Relaxed,Euphoric,Sleepy,Happy,Hungry","Earthy,Sweet,Pungent","Do-Si-Dos is an indica-dominant hybrid with qualities similar to its parent, Girl Scout Cookies. With glittering trichomes, bright pistils, and lime green and lavender leaves, this strain is a feast for eyes. Its aroma is pungent, sweet, and earthy with slight floral funkiness. These classic OG aromas blend nicely with medical-grade body effects that lean toward the sedative side with the addition of Face Off OG genetics. Enjoy a stoney, in-your-face buzz off the start that melts down over the body, prettifying the consumer with relaxation that emanates outward. "
Doctor-Doctor,sativa,5,"Relaxed,Uplifted,Focused,Happy,Aroused","Sweet,Strawberry,Citrus","Doctor Doctor by Vodis USA is a high-CBD sativa-dominant phenotype of the landrace Malawi. This cannabinoid power plant has been known to generate over 20% CBD and approximately 1-2.5% THC. With this medicinal ratio, Doctor Doctor provides potent wellness driven effects that settle nausea, reduce inflammation, and abate anxiety all while preserving mental clarity. Overall, Doctor Doctor is the perfect choice for consumers seeking a smooth, flavorful smoke with the potential to ease both physical and mental stresses.  "
Dog-Shit,hybrid,4.3,"Creative,Euphoric,Relaxed,Uplifted,Happy","Pungent,Earthy,Berry","Dog Shit is a sativa-dominant hybrid strain named for its aroma, which bears a striking resemblance to its namesake. For the novelty-seekers not turned off by its name and smell, Dog Shit provides uplifting euphoria that elevates the mood while crushing stress. This strain has an elaborate genetic background that is said to stem from Purple Zacatecas, Colombian Gold, Cambodian, and Hippie Trail Afghani."
Dogwalker-Og,hybrid,4.7,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Earthy,Skunk,Pungent","Dogwalker OG is a balanced hybrid bred by combining Albert Walker OG and Chemdawg 91. With a complex profile of woody and skunky aromas, Dogwalker OG delivers a strong cerebral calm that radiates throughout the body over time. The sativa side of Dogwalker OG promotes focus, while its indica counterpart induces deep relaxation that easily converts to sleep in high doses. This THC-rich hybrid can be used for a variety of issues, particularly pain, mood disorders, and appetite loss."
Dolla-Sign-Og-Kush,indica,5,"Creative,Sleepy,Uplifted,Energetic,Hungry","Sweet,Flowery,Pungent","Dolla Sign OG Kush by Ty Dolla Sign is an OG blend befitting the rising Hip Hop/RnB wunderkind. He achieves this one-of-a-kind strain by blending Irene OG and Larry OG (two of his favorite cuts), creating a strain with distinct aromas and unique effects. The terpene profile is a fresh blend of diesel, lemon, pine, and earth, and its effects offer heady Kush elements while remaining kind to the body. Enjoy Dolla Sign OG Kush throughout the day, but beware, it may have strong sedative effects with continued consumption. "
Domino,indica,4,"Sleepy,Happy,Tingly,Uplifted,Euphoric","",""
Don-Shula,hybrid,5,"Uplifted,Euphoric,Relaxed,Talkative,Happy","Citrus,Tropical,Diesel","Don Shula, 3rd place winner of Best Hybrid Flower at the 2016 Colorado Cannabis Cup, crosses The White and Diagonal (True OG x East Coast Sour Diesel) to create a hybrid that sits upright in the body and mind. Exhibiting functional OG effects, this pungent strain is a comfortable middle ground for indica-dominant enthusiasts seeking an all-day strain.     "
Donegal,hybrid,3.8,"Euphoric,Relaxed,Sleepy,Talkative,Energetic","Earthy,Woody,Pungent","Donegal is a variety of Chemdawg grown by Canadian LP Tweed. It is a sativa-dominant hybrid that is potent but will still allow you to maintain your typical routine. The flavors of Donegal are a mix of citrus and pungent diesel notes that give way to the heady effects that are first felt around the crown of your head and provide an uplifted mood and a rush of creativity."
Donna-Og,hybrid,4.6,"Creative,Euphoric,Relaxed,Happy,Hungry","Citrus,Pungent,Sweet","Donna OG is a 50/50 hybrid cross between two OG varieties, resulting in a powerful strain with a sweet, pine aroma. Vector Beans of Cannagen Consulting in Los Angeles created Donna OG by combining Mary OG with Larry OG, and then backcrossing once again with a ML11 phenotype of the Mary OG. Donna OG blooms in purple hues, growing tightly and compactly under a blanket of THC-rich resin. Consumers can experience a wide spectrum of effects with Donna OG, including dreamy euphoria, sharpened hunger, and relaxing sedation."
Doobiebird-Daydream,hybrid,4.6,"Euphoric,Tingly,Happy,Talkative,Relaxed","Blueberry,Earthy,Sweet","Doobiebird Daydream is another Blue Dream hybrid that combines its famous creative relaxation with the medicinal qualities of Sanjay Gupta Kush. The Doobiebird was also the Colorado Seed Inc. mascot until Colorado State law prohibited cartoon characters to be associated with dispensaries. This hybrid expresses itself with the lime green buds of Blue Dream and a Kush aroma with a hint of skunk. Expect uplifted and motivational attributes that are grounded in a stabilizing body buzz that goes full sedation with heavier dosing. "
Doox,sativa,4.4,"Uplifted,Energetic,Happy,Focused,Tingly","Sweet,Citrus,Lime","Doox is a sativa-dominant hybrid strain bred from Purple Cow and the legendary hybrid Chemdawg. The effects will set in quickly, delivering an intense body buzz coupled with dreamy euphoria. Doox flowers typically bloom in pale pastel greens masked by a dense coat of frosty resin. Pungent and skunky, this strain is sure to fill the room with its strong sour aroma. "
Dopium,hybrid,4.5,"Relaxed,Euphoric,Focused,Energetic,Uplifted","Earthy,Pine,Pungent","Dopium, a cross between ChemDawg and Sour Diesel, has a unique scent while keeping elements of that classic Sour Diesel smell. Described as delivering relaxing and mellow effects, Dopium has the sharp spice of diesel with floral hints."
Dorit,indica,4.4,"Relaxed,Euphoric,Uplifted,Tingly,Sleepy","Ammonia,Spicy/Herbal,Minty","Dorit is a 70/30 indica-dominant strain tailored for patients treating pain, inflammation, indigestion, appetite loss, nausea, and sleep disorders. Bred in Israel by Tikun Olam, this strain inherits its name from Dorit Cohen, who helped found the company. "
Double-Barrel-Og,hybrid,4.2,"Relaxed,Euphoric,Hungry,Sleepy,Uplifted","Earthy,Citrus","Double Barrel OG offers a double shot of OG genetics as this hybrid combines White Fire OG with Raskal’s OG Kush. Its dense, resin-packed buds give rise to flavors both sweet and sour, a pungent fusion of sweet lemons and fuel-drenched pine. This hybrid travels straight to the head, launching you into thick euphoric lucidity that lets you forget any heaviness in mind or body. As the acute effects settle, Double Barrel OG eases you into a motivated and functional buzz perfect for afternoon productivity."
Double-Diesel,sativa,4.2,"Creative,Happy,Focused,Energetic,Euphoric","Diesel,Lime,Citrus","Double Diesel is the sativa-dominant result of a cross between award-winning NYC Diesel and Sour Diesel. These plants are easy to grow and their lime green buds will give off a strong diesel-y odor with some grapefruit added in. The grapefruit notes overpower the taste, giving this strain a unique musky fruit flavor. Its effects are happy and uplifting, but not usually as energetic as some other sativas. Overall, it’s a good choice for a laid-back medicated time. "
Double-Dream,hybrid,4.5,"Uplifted,Relaxed,Happy,Focused,Euphoric","Sweet,Earthy,Berry","The sativa-dominant hybrid Double Dream puts a unique spin on the famed Blue Dream by crossing it with Dream Star. With a complex flavor profile that synchronizes sweet floral notes with berries and spice, Double Dream is a soothing and mentally invigorating strain that still allows clear-headed functionality. Its dreamy, euphoric buzz is anchored by a deep, physical relaxation that mutes pain, anxiety, stress, and inflammation. Patients also turn to this uplifting strain for daytime release from PTSD, headaches, and nausea."
Double-Dutch,hybrid,4.3,"Hungry,Uplifted,Talkative,Creative,Energetic","Tar,Earthy,Sweet","Double Dutch is a classic hybrid strain bred by Magus Genetics who crossed a pre-2000 Chronic female with a Warlock father. This 60/40 indica-dominant split has a strong Dutch heritage with emphasized indica traits. In its vegetative cycle, Double Dutch erupts into a bushy plant with thick leaves and strong stems, while its flowering stage gives rise to sativa-like popcorn buds after 8 to 9 weeks. With an aroma that brings to mind fresh fruit and fields of wildflowers, Double Dutch is cherished for its powerfully relaxing effects that flood both body and mind without causing too much drowsiness."
Double-Mint,indica,5,"Uplifted,Euphoric,Sleepy,Talkative,Tingly","Minty,Mint,Lemon","Double Mint by Natural Genetics Seeds is an indica-dominant cross of signature genetics. By pairing SinMint Cookies with Mint Chocolate Chip, NSG backcrosses Mint Chocolate Chip with its mother plant, reinforcing the sweet, minty terpenes of this strain’s resinous, rock-like buds. Double Mint has a punctual 63-day flowering time and generous resin production, making it a perfect strain for extraction. Its sedative effects and mind-numbing euphoria make it an ideal “end of the day” strain to shrug off stress and be so chill, you’re minty.  "
Double-Og,indica,4.6,"Sleepy,Happy,Euphoric,Relaxed,Focused","Earthy,Diesel,Skunk","Double OG combines the powerhouse indica properties of Big Bud Afgoo and SFV OG to create a sedating strain ideal for body aches and sleepless nights. Though often regarded as too potent for novices, Double OG’s knock-out effects are well-suited for experienced consumers with a high THC tolerance. Deep relaxation of the mind and body brings relief to stress and anxiety, while also calming muscle spasms, tremors, and pain."
Double-Purple-Doja,indica,4.7,"Relaxed,Creative,Sleepy,Happy,Euphoric","Earthy,Grape,Pungent","Double Purple Doja is an indica strain that crosses Sputnik #1 with Black Russian, a parentage that gives rise to powerfully euphoric effects and a musky blackberry aroma. This indica is best saved for late night use, but its sedating qualities won’t entirely pull the plug on social or creative activities if enjoyed earlier in the day. Most notable is its deep purple coloration, and breeders often turn to Double Purple Doja genetics when creating new purple varieties. Though originally bred by TGA Genetics, Double Purple Doja is largely propagated by breeders Outlaw and Matthew Riot. "
Double-Tangie-Banana,hybrid,4.4,"Happy,Uplifted,Relaxed,Energetic,Euphoric","Citrus,Sweet,Orange","Double Tangie Banana is a sativa-dominant hybrid strain developed by Crockett Family Farms. Supposedly a cross between Banana Sherbert and DNA Genetics’ orange-flavored Tangie, Double Tangie Banana oozes with crystal resin and citrus aromas. Anyone who has tried Tangie knows that this strain was primarily bred for the flavor enthusiasts, so if you’re searching for a strain with an impressive terpene profile, look no further."
Double-Tap,indica,5,"Talkative,Happy,Relaxed","None","Double Tap by Mr. Mack’s Snacks is a potent cannabis strain designed for high-tolerance consumers. The strain’s Monster Cookies x Yeti OG x Bloo's Kloos heritage boasts large yields and potency well over 20% THC. Double Tap’s Bloo's Kloos ancestry also gives this strain sweet and aromatic flavors of berry, pine, grape, and fuel. This heavy indica should be consumed sparingly. As the name implies, Double Tap takes you out and puts you down, leaving the body sedated and the mind relaxed."
Dougs-Varin,sativa,5,"Uplifted,Creative,Energetic,Focused,Talkative","None","Doug’s Varin is a rare sativa strain that was specially crafted to contain high amounts of the cannabinoid THCV, a psychoactive cannabis compound known to relieve panic attacks, Parkinson’s tremors, stimulate bone growth, and provide a burst of energy. Patient’s suffering from anorexia and appetite loss should steer clear of Doug’s Varin, as THCV also suppresses hunger. With an aroma of earthy pine and sweet citrus, Doug’s Varin delivers a clear-headed burst of mental stimulation that doesn’t last as long as high-THC varieties, making this strain a perfect choice for anyone seeking short-term effects."
Dr-Bubbles,hybrid,4,"None","None","Dr. Bubbles is a delicious strain with roots in Y2K Bubble Gum and Gupta Kush. This lip-smacking marriage of flavors creates a sweet and decidedly floral combination that is pleasant but not debilitating. Colorado Seed Inc. bred this strain to boost the yield of Bubble Gum with the hearty genetics of Dr. Gupta, leading to stalky aromatic plants that finish in approximately 8 to 9 weeks.  "
Dr-Feelgood,hybrid,4.5,"Happy,Relaxed,Tingly,Euphoric,Sleepy","Earthy,Woody,Nutty","Dr. Feelgood is a beautiful blend of flavors and effects that possesses a tangible medical bent. This cross developed by Colorado Seed Inc. is a blend of Harlequin and Gupta Kush. Mixing the powerful CBD generation of Harlequin with the medical-grade body effects of Dr. Sanjay Gupta Kush creates a strain focused on physical wellness. With equal parts anti-inflammatory and analgesic effects, Dr. Feelgood abates anxiety and culls chronic pain with confidence. "
Dr-Funk,indica,4.6,"Relaxed,Happy,Tingly,Sleepy,Aroused","Earthy,Berry,Blueberry","Dr. Funk is a mostly indica strain that balances genetics from Blueberry and Bubba Kush. You can taste this strain’s lineage as flavors of sweet berry and earthy sharpness activate on the exhale. Its tight, compact buds and orange hair-like pistils are obscured under a thick dusting of crystal trichomes, which hint at Dr. Funk’s potency."
Dr-Grinspoon,sativa,4.8,"Happy,Energetic,Uplifted,Creative,Talkative","Earthy,Citrus,Pungent","Dr. Grinspoon, a pure sativa heirloom bred by Barney’s Farm in Amsterdam, is a strain destined for connoisseurs and intellectuals alike. In honor of the Harvard professor and cannabis advocate, this strain was named after Lester Grinspoon, who set out to correct misinformed science in the 1970s. As if channeling the brilliance of Dr. Grinspoon himself, this sativa is a top choice for creative, introspective thinkers as it induces heightened cerebral activity and sensory awareness. Dr. Grinspoon buds, imbued with rich earthy and honey flavors, grow like berries on twig stalks in unusually gapped popcorn formations. Because of its structure, Dr. Grinspoon typically delivers smaller harvests after a 13-14 week flowering time. This indoor preferred strain requires time and patience, but few cannabis varieties can impress connoisseurs like these frost coated gems. Patients with mood disorders, attention deficit, and chronic pain may find relief in the euphoric and invigorating experience that defines this legendary sativa."
Dr-Quantum,hybrid,0,"None","None","Dr. Quantum is an indica-dominant cross of Dr. Who and Quantum Kush, and it strikes a balance between potency and playfulness. The strain hits fast with a heady, giggly buzz that is easy on the body. Dr. Quantum has a deep citrus perfume aroma with earthy, floral undertones. Utilize this strain to release stress and indulge in the carefree whimsy only cannabis can offer.     "
Dr-Who,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Creative","Sweet,Earthy,Berry","Navigate the planes of time and space with Dr. Who, a potent indica hybrid originally from Homegrown Natural Wonders who wittily combined parent strains Mad Scientist and Timewreck. This 60% indica strain can deliver swift relief to pain, stress, appetite loss, multiple sclerosis, ADHD, mood disorders, and nausea without lethargy or sedation, making Dr. Who a good choice for any time of the day. Its effects are precluded by a sweet and sour aroma of pineapple and grape. Dr. Who flowers in 56 to 63 days indoors, but also grows well in outdoor gardens."
Dragon-Og,hybrid,4.4,"Uplifted,Happy,Relaxed,Euphoric,Focused","Diesel,Berry,Tropical","Dragon OG (or Red Dragon OG) is a sativa-dominant hybrid cross between Red Dragon and OG Kush. Red Dragon adds gentle invigoration to OG Kush’s mid-level sedation and pleasant euphoria. This heady hybrid offers mood-boosting mental stimulation and relaxing body effects that stick to the bones. Enjoy this strain throughout the day to boost creativity and combat moderate pain, but beware: this potent combination can be overstimulating in large doses.  "
Dragons-Breath,hybrid,4.6,"Happy,Uplifted,Talkative,Relaxed,Creative","Spicy/Herbal,Earthy,Skunk","Dragon's Breath is a sativa-dominant hybrid cross between the two legendary strains, Jack Herer and Northern Lights. Its balanced, clear-headed effects are ushered in by a distinctive spicy aroma that hints at this hybrid's Haze ancestor. Some patients may find Dragon's Breath particularly helpful in burning off pain, depression, and anxiety throughout the day."
Dreadlock,hybrid,4,"Focused,Relaxed,Talkative,Tingly,Uplifted","Earthy,Diesel,Sage","Dreadlock, hailing from Canada, is a 50/50 hybrid with energizing effects that carry social interactions to a new level. Patients and consumers chasing strains with mood-elevating properties stop their search at Dreadlock, a name derived from its dense, nappy buds. It produces heavy yields of sweet, musky flowers blanketed in crystal trichomes. A good strain for novice growers, Dreadlock plants are hardy and resilient when it comes to mold. Joint Doctor Seeds, the strain’s original growers, recommend indoor soil gardens and the “screen of green” method. A full 9 weeks for flowering is suggested with Dreadlock, as it tends to gain a lot of weight and THC in its final mile."
Dream-Beaver,sativa,4.7,"Happy,Uplifted,Energetic,Talkative,Creative","Pineapple,Woody,Spicy/Herbal","Dream Beaver by Bodhi Seeds is a sativa-dominant strain that crosses Dirty Hippy (an Afghooey-Blockhead hybrid) with Appalachia. With subdued flavors of fresh cedar and earthy spice, Dream Beaver deals a mellow buzz that lets you stay active, productive, and social. This sativa is a great choice for unleashing laughing fits and creative sparks on those days when your mood and motivation could use a lift."
Dream-Berry,indica,4.5,"Relaxed,Sleepy,Euphoric,Happy,Giggly","Berry,Citrus,Diesel","Dream Berry is a sweet, fruity cross between Blue Dream and Blackberry. Its calming indica qualities prevail over its sativa genetics. The breeders at Apothecary Genetics recommend a short 6 to 7 week flowering time for indoor gardens, or the end of September for outdoor cultivators. "
Dream-Lotus,hybrid,4.3,"Happy,Uplifted,Relaxed,Euphoric,Energetic","Spicy/Herbal,Woody,Tea","Dream Lotus by Bodhi Seeds is a hybrid strain that was designed to recreate the widely cherished qualities of Blue Dream, but with an accentuated chunky bud structure. This rendition combines a Santa Cruz cut of Blue Dream with Bodhi’s Snow Lotus, resulting in a strain that maintains uplifting effects and a fragrant blueberry aroma. Hashy spice and sweet herbal notes can be detected on the exhale in a flavor that ushers in blissful effects perfect for stress relief any time of the day."
Dream-Police,hybrid,3.7,"Uplifted,Talkative,Energetic,Euphoric,Creative","Pepper,Blueberry,Citrus","Dream Police is a balanced hybrid crossed between Dreamy Bubbles (Bubbleberry x Afghani) and AK-47. These sizeable buds offer a pungent, distinct aroma that deliver active effects with a quick onset, providing long-lasting pain and stress relief. This stable plant is viable for beginning growers, successful both indoors and outdoors with a flowering time around 60 days."
Dream-Queen,hybrid,4.3,"Happy,Uplifted,Euphoric,Relaxed,Energetic","Citrus,Sweet,Earthy","Dream Queen is an aptly named sativa-dominant hybrid that will leave you in a euphoric, dream-like state after a few puffs. A cross of two beloved strains, Blue Dream and Space Queen, it offers intense odors reminiscent of pineapple and bubblegum, and flavors of citrus, menthol and hash when vaped or smoked. Dream Queen’s very frosty, light green flowers will have you sticking your nose back in the jar again and again to experience their delicious fruity aroma."
Dream-Star,hybrid,4.8,"Euphoric,Creative,Uplifted,Talkative,Relaxed","Earthy,Woody,Sweet","A cross between Blue Dream and Stardawg, Dream Star is a sativa-dominant hybrid bred by Oaksterdam Seed Co. Its aroma is sweet and fruity, with sour accents that hint at Dream Star’s Chemdawg lineage. This strain’s psychoactive onset begins in the head and evens out over time into a mellow full-body calm. Dream Star is used by patients to treat a variety of symptoms and conditions including headaches, pain, depression, multiple sclerosis, and Parkinson’s. This hybrid might come as a challenge to novice growers, but cultivators of this strain should wait nine weeks for indoor plants to flower."
Dreamers-Glass,hybrid,4.4,"Uplifted,Euphoric,Creative,Relaxed,Giggly","Earthy,Skunk,Sweet","Dreamer’s Glass is a hybrid cannabis strain that delivers dreamy euphoric effects alongside heavy body effects that let you settle deeply in relaxation. This strain is great for patients needing potent relief of nausea and mild pain, but expect to feel more and more anchored to your couch as you increase the dose."
Drizella,sativa,4.8,"Uplifted,Energetic,Happy,Euphoric,Giggly","Sweet,Earthy,Pungent","Drizella is a sativa bred by Dynasty Seeds that crosses Cinderella 99, White Widow, and Space Queen. These resinous buds offer a tropical aroma, with notes of pineapple, citrus, and vanilla, delivering clear, stimulating cerebral effects that are long-lasting. This stable strain can be grown both indoors and outdoors, with a flowering time around 60 days."
Duke-Nukem,hybrid,4.4,"Creative,Happy,Energetic,Focused,Euphoric","Sweet,Pungent,Earthy","Duke Nukem may be named after a video game character who spends his days obliterating “alien bastards,” but this strain is a lot more laidback than its action hero namesake. The mostly sativa hybrid produces an active mental high that is uplifting and may have you feeling more creative than commando. It’s a cross between Chemmando and Chernobyl and flowers in 9 to 11 weeks. The strain is a fairly easy plant to grow and should give medium to high yields. Its buds are known to be especially colorful with shades of frosty pinks and oranges. Careful not to confuse this strain with Nuken, which is a different indica dominant hybrid."
